20230424_baseline_2 Sap_UP H2O_to 3200 nm-3 - RawData
Wavelength nm.,Abs.
779.00,0.013
780.00,0.014
781.00,0.014
782.00,0.016
783.00,0.016
784.00,0.016
785.00,0.015
786.00,0.015
787.00,0.015
788.00,0.013
789.00,0.013
790.00,0.014
791.00,0.014
792.00,0.014
793.00,0.014
794.00,0.013
795.00,0.013
796.00,0.013
797.00,0.014
798.00,0.015
799.00,0.015
800.00,0.015
801.00,0.016
802.00,0.015
803.00,0.014
804.00,0.014
805.00,0.015
806.00,0.016
807.00,0.015
808.00,0.012
809.00,0.013
810.00,0.016
811.00,0.016
812.00,0.014
813.00,0.013
814.00,0.015
815.00,0.015
816.00,0.014
817.00,0.013
818.00,0.014
819.00,0.014
820.00,0.014
821.00,0.015
822.00,0.014
823.00,0.013
824.00,0.012
825.00,0.013
826.00,0.014
827.00,0.015
828.00,0.014
829.00,0.014
830.00,0.013
831.00,0.013
832.00,0.013
833.00,0.014
834.00,0.014
835.00,0.014
836.00,0.015
837.00,0.015
838.00,0.013
839.00,0.013
840.00,0.013
841.00,0.014
842.00,0.015
843.00,0.015
844.00,0.015
845.00,0.014
846.00,0.015
847.00,0.016
848.00,0.014
849.00,0.013
850.00,0.013
851.00,0.014
852.00,0.015
853.00,0.014
854.00,0.013
855.00,0.015
856.00,0.017
857.00,0.016
858.00,0.014
859.00,0.013
860.00,0.014
861.00,0.015
862.00,0.016
863.00,0.015
864.00,0.016
865.00,0.016
866.00,0.017
867.00,0.017
868.00,0.015
869.00,0.014
870.00,0.015
871.00,0.014
872.00,0.013
873.00,0.014
874.00,0.013
875.00,0.011
876.00,0.013
877.00,0.016
878.00,0.018
879.00,0.018
880.00,0.031
881.00,0.044
882.00,0.044
883.00,0.044
884.00,0.043
885.00,0.042
886.00,0.043
887.00,0.043
888.00,0.043
889.00,0.042
890.00,0.040
891.00,0.041
892.00,0.041
893.00,0.040
894.00,0.038
895.00,0.036
896.00,0.037
897.00,0.038
898.00,0.039
899.00,0.038
900.00,0.039
901.00,0.040
902.00,0.041
903.00,0.040
904.00,0.040
905.00,0.040
906.00,0.039
907.00,0.040
908.00,0.040
909.00,0.041
910.00,0.040
911.00,0.037
912.00,0.039
913.00,0.040
914.00,0.038
915.00,0.038
916.00,0.037
917.00,0.037
918.00,0.036
919.00,0.036
920.00,0.037
921.00,0.035
922.00,0.036
923.00,0.037
924.00,0.037
925.00,0.037
926.00,0.035
927.00,0.034
928.00,0.034
929.00,0.035
930.00,0.035
931.00,0.034
932.00,0.034
933.00,0.034
934.00,0.033
935.00,0.033
936.00,0.033
937.00,0.033
938.00,0.032
939.00,0.031
940.00,0.031
941.00,0.033
942.00,0.034
943.00,0.033
944.00,0.032
945.00,0.030
946.00,0.030
947.00,0.031
948.00,0.031
949.00,0.032
950.00,0.030
951.00,0.029
952.00,0.031
953.00,0.031
954.00,0.032
955.00,0.032
956.00,0.030
957.00,0.030
958.00,0.031
959.00,0.032
960.00,0.032
961.00,0.031
962.00,0.032
963.00,0.030
964.00,0.029
965.00,0.030
966.00,0.029
967.00,0.028
968.00,0.028
969.00,0.028
970.00,0.028
971.00,0.028
972.00,0.028
973.00,0.028
974.00,0.028
975.00,0.027
976.00,0.028
977.00,0.029
978.00,0.029
979.00,0.028
980.00,0.026
981.00,0.027
982.00,0.028
983.00,0.029
984.00,0.029
985.00,0.028
986.00,0.028
987.00,0.028
988.00,0.028
989.00,0.028
990.00,0.029
991.00,0.028
992.00,0.027
993.00,0.027
994.00,0.026
995.00,0.027
996.00,0.029
997.00,0.029
998.00,0.029
999.00,0.027
1000.00,0.027
1001.00,0.026
1002.00,0.026
1003.00,0.027
1004.00,0.028
1005.00,0.028
1006.00,0.028
1007.00,0.027
1008.00,0.027
1009.00,0.027
1010.00,0.027
1011.00,0.027
1012.00,0.028
1013.00,0.027
1014.00,0.027
1015.00,0.028
1016.00,0.028
1017.00,0.029
1018.00,0.028
1019.00,0.028
1020.00,0.028
1021.00,0.027
1022.00,0.027
1023.00,0.026
1024.00,0.027
1025.00,0.028
1026.00,0.029
1027.00,0.028
1028.00,0.026
1029.00,0.027
1030.00,0.028
1031.00,0.027
1032.00,0.027
1033.00,0.027
1034.00,0.027
1035.00,0.026
1036.00,0.026
1037.00,0.026
1038.00,0.026
1039.00,0.026
1040.00,0.025
1041.00,0.025
1042.00,0.025
1043.00,0.026
1044.00,0.026
1045.00,0.026
1046.00,0.027
1047.00,0.027
1048.00,0.026
1049.00,0.025
1050.00,0.025
1051.00,0.025
1052.00,0.024
1053.00,0.025
1054.00,0.026
1055.00,0.025
1056.00,0.025
1057.00,0.025
1058.00,0.025
1059.00,0.025
1060.00,0.025
1061.00,0.025
1062.00,0.024
1063.00,0.024
1064.00,0.025
1065.00,0.025
1066.00,0.025
1067.00,0.025
1068.00,0.025
1069.00,0.025
1070.00,0.024
1071.00,0.024
1072.00,0.024
1073.00,0.025
1074.00,0.026
1075.00,0.027
1076.00,0.027
1077.00,0.026
1078.00,0.026
1079.00,0.026
1080.00,0.026
1081.00,0.025
1082.00,0.025
1083.00,0.026
1084.00,0.026
1085.00,0.026
1086.00,0.026
1087.00,0.026
1088.00,0.026
1089.00,0.026
1090.00,0.026
1091.00,0.026
1092.00,0.025
1093.00,0.025
1094.00,0.025
1095.00,0.025
1096.00,0.025
1097.00,0.026
1098.00,0.026
1099.00,0.025
1100.00,0.025
1101.00,0.025
1102.00,0.025
1103.00,0.025
1104.00,0.026
1105.00,0.026
1106.00,0.026
1107.00,0.026
1108.00,0.025
1109.00,0.024
1110.00,0.023
1111.00,0.023
1112.00,0.025
1113.00,0.026
1114.00,0.026
1115.00,0.026
1116.00,0.025
1117.00,0.025
1118.00,0.024
1119.00,0.023
1120.00,0.025
1121.00,0.026
1122.00,0.026
1123.00,0.026
1124.00,0.025
1125.00,0.024
1126.00,0.024
1127.00,0.024
1128.00,0.024
1129.00,0.024
1130.00,0.023
1131.00,0.025
1132.00,0.025
1133.00,0.024
1134.00,0.025
1135.00,0.024
1136.00,0.025
1137.00,0.025
1138.00,0.026
1139.00,0.026
1140.00,0.026
1141.00,0.026
1142.00,0.026
1143.00,0.025
1144.00,0.025
1145.00,0.026
1146.00,0.026
1147.00,0.026
1148.00,0.027
1149.00,0.027
1150.00,0.027
1151.00,0.027
1152.00,0.027
1153.00,0.028
1154.00,0.028
1155.00,0.028
1156.00,0.028
1157.00,0.027
1158.00,0.026
1159.00,0.026
1160.00,0.026
1161.00,0.027
1162.00,0.028
1163.00,0.028
1164.00,0.028
1165.00,0.028
1166.00,0.028
1167.00,0.028
1168.00,0.027
1169.00,0.026
1170.00,0.027
1171.00,0.027
1172.00,0.028
1173.00,0.029
1174.00,0.029
1175.00,0.027
1176.00,0.026
1177.00,0.026
1178.00,0.027
1179.00,0.028
1180.00,0.028
1181.00,0.028
1182.00,0.029
1183.00,0.029
1184.00,0.029
1185.00,0.029
1186.00,0.028
1187.00,0.027
1188.00,0.027
1189.00,0.027
1190.00,0.027
1191.00,0.028
1192.00,0.028
1193.00,0.029
1194.00,0.028
1195.00,0.026
1196.00,0.026
1197.00,0.025
1198.00,0.025
1199.00,0.027
1200.00,0.027
1201.00,0.027
1202.00,0.026
1203.00,0.026
1204.00,0.027
1205.00,0.026
1206.00,0.026
1207.00,0.025
1208.00,0.025
1209.00,0.027
1210.00,0.027
1211.00,0.028
1212.00,0.027
1213.00,0.027
1214.00,0.025
1215.00,0.025
1216.00,0.025
1217.00,0.025
1218.00,0.026
1219.00,0.026
1220.00,0.027
1221.00,0.028
1222.00,0.027
1223.00,0.026
1224.00,0.026
1225.00,0.026
1226.00,0.026
1227.00,0.026
1228.00,0.028
1229.00,0.029
1230.00,0.029
1231.00,0.029
1232.00,0.028
1233.00,0.027
1234.00,0.026
1235.00,0.026
