20230424_F3_PCT-C3-SO3Na 2 mgml_H2SO4 0p01 N-2 - RawData
Wavelength nm.,Abs.
1054.00,0.150
1055.00,0.150
1056.00,0.150
1057.00,0.149
1058.00,0.149
1059.00,0.149
1060.00,0.148
1061.00,0.147
1062.00,0.146
1063.00,0.145
1064.00,0.146
1065.00,0.145
1066.00,0.144
1067.00,0.144
1068.00,0.144
1069.00,0.143
1070.00,0.142
1071.00,0.142
1072.00,0.141
1073.00,0.141
1074.00,0.141
1075.00,0.141
1076.00,0.140
1077.00,0.139
1078.00,0.139
1079.00,0.137
1080.00,0.136
1081.00,0.135
1082.00,0.135
1083.00,0.135
1084.00,0.135
1085.00,0.135
1086.00,0.135
1087.00,0.133
1088.00,0.132
1089.00,0.131
1090.00,0.130
1091.00,0.130
1092.00,0.129
1093.00,0.129
1094.00,0.128
1095.00,0.127
1096.00,0.127
1097.00,0.126
1098.00,0.125
1099.00,0.124
1100.00,0.124
1101.00,0.124
1102.00,0.124
1103.00,0.123
1104.00,0.122
1105.00,0.122
1106.00,0.121
1107.00,0.120
1108.00,0.119
1109.00,0.118
1110.00,0.117
1111.00,0.116
1112.00,0.117
1113.00,0.116
1114.00,0.115
1115.00,0.115
1116.00,0.115
1117.00,0.115
1118.00,0.114
1119.00,0.112
1120.00,0.112
1121.00,0.112
1122.00,0.111
1123.00,0.110
1124.00,0.109
1125.00,0.109
1126.00,0.108
1127.00,0.107
1128.00,0.107
1129.00,0.105
1130.00,0.105
1131.00,0.106
1132.00,0.106
1133.00,0.105
1134.00,0.104
1135.00,0.103
1136.00,0.103
1137.00,0.102
1138.00,0.102
1139.00,0.101
1140.00,0.102
1141.00,0.102
1142.00,0.101
1143.00,0.100
1144.00,0.100
1145.00,0.099
1146.00,0.097
1147.00,0.097
1148.00,0.097
1149.00,0.098
1150.00,0.098
1151.00,0.097
1152.00,0.097
1153.00,0.097
1154.00,0.096
1155.00,0.095
1156.00,0.095
1157.00,0.094
1158.00,0.093
1159.00,0.094
1160.00,0.093
1161.00,0.093
1162.00,0.092
1163.00,0.091
1164.00,0.091
1165.00,0.091
1166.00,0.090
1167.00,0.090
1168.00,0.090
1169.00,0.089
1170.00,0.089
1171.00,0.089
1172.00,0.089
1173.00,0.089
1174.00,0.088
1175.00,0.087
1176.00,0.087
1177.00,0.086
1178.00,0.087
1179.00,0.088
1180.00,0.087
1181.00,0.086
1182.00,0.085
1183.00,0.085
1184.00,0.084
1185.00,0.084
1186.00,0.084
1187.00,0.084
1188.00,0.083
1189.00,0.083
1190.00,0.083
1191.00,0.082
1192.00,0.082
1193.00,0.081
1194.00,0.081
1195.00,0.081
1196.00,0.080
1197.00,0.080
1198.00,0.081
1199.00,0.081
1200.00,0.079
1201.00,0.078
1202.00,0.078
1203.00,0.077
1204.00,0.079
1205.00,0.079
1206.00,0.079
1207.00,0.078
1208.00,0.077
1209.00,0.077
1210.00,0.077
1211.00,0.077
1212.00,0.077
1213.00,0.076
1214.00,0.077
1215.00,0.076
1216.00,0.077
1217.00,0.077
1218.00,0.076
1219.00,0.075
1220.00,0.075
1221.00,0.076
1222.00,0.075
1223.00,0.075
1224.00,0.075
1225.00,0.076
1226.00,0.076
1227.00,0.076
1228.00,0.076
1229.00,0.076
1230.00,0.075
1231.00,0.075
1232.00,0.074
1233.00,0.074
1234.00,0.074
1235.00,0.075
1236.00,0.075
1237.00,0.075
1238.00,0.075
1239.00,0.074
1240.00,0.074
1241.00,0.074
1242.00,0.075
1243.00,0.075
1244.00,0.075
1245.00,0.075
1246.00,0.075
1247.00,0.074
1248.00,0.074
1249.00,0.073
1250.00,0.073
1251.00,0.072
1252.00,0.073
1253.00,0.074
1254.00,0.073
1255.00,0.073
1256.00,0.073
1257.00,0.074
1258.00,0.073
1259.00,0.073
1260.00,0.072
1261.00,0.072
1262.00,0.072
1263.00,0.071
1264.00,0.072
1265.00,0.072
1266.00,0.072
1267.00,0.073
1268.00,0.072
1269.00,0.072
1270.00,0.072
1271.00,0.072
1272.00,0.072
1273.00,0.072
1274.00,0.073
1275.00,0.073
1276.00,0.073
1277.00,0.073
1278.00,0.072
1279.00,0.071
1280.00,0.071
1281.00,0.072
1282.00,0.072
1283.00,0.072
1284.00,0.072
1285.00,0.072
1286.00,0.073
1287.00,0.073
1288.00,0.073
1289.00,0.072
1290.00,0.071
1291.00,0.071
1292.00,0.071
1293.00,0.071
1294.00,0.072
1295.00,0.072
1296.00,0.073
1297.00,0.073
1298.00,0.073
1299.00,0.073
1300.00,0.072
1301.00,0.072
1302.00,0.072
1303.00,0.072
1304.00,0.071
1305.00,0.071
1306.00,0.072
1307.00,0.073
1308.00,0.074
1309.00,0.075
1310.00,0.075
1311.00,0.074
1312.00,0.074
1313.00,0.074
1314.00,0.074
1315.00,0.075
1316.00,0.075
1317.00,0.075
1318.00,0.076
1319.00,0.077
1320.00,0.077
1321.00,0.077
1322.00,0.077
1323.00,0.077
1324.00,0.076
1325.00,0.077
1326.00,0.077
1327.00,0.078
1328.00,0.077
1329.00,0.077
1330.00,0.078
1331.00,0.078
1332.00,0.078
1333.00,0.078
1334.00,0.078
1335.00,0.077
1336.00,0.078
1337.00,0.078
1338.00,0.079
1339.00,0.080
1340.00,0.081
1341.00,0.081
1342.00,0.080
1343.00,0.081
1344.00,0.081
1345.00,0.081
1346.00,0.081
1347.00,0.081
1348.00,0.082
1349.00,0.082
1350.00,0.081
1351.00,0.081
1352.00,0.082
1353.00,0.083
1354.00,0.084
1355.00,0.084
1356.00,0.084
1357.00,0.084
1358.00,0.085
1359.00,0.084
1360.00,0.084
1361.00,0.084
1362.00,0.085
1363.00,0.086
1364.00,0.086
1365.00,0.086
1366.00,0.086
1367.00,0.086
1368.00,0.087
1369.00,0.087
1370.00,0.088
1371.00,0.088
1372.00,0.088
1373.00,0.088
1374.00,0.089
1375.00,0.090
1376.00,0.090
1377.00,0.092
1378.00,0.091
1379.00,0.090
1380.00,0.093
1381.00,0.095
1382.00,0.093
1383.00,0.094
1384.00,0.097
1385.00,0.100
1386.00,0.102
1387.00,0.102
1388.00,0.100
1389.00,0.102
1390.00,0.105
1391.00,0.107
1392.00,0.108
1393.00,0.108
1394.00,0.110
1395.00,0.113
1396.00,0.114
1397.00,0.116
1398.00,0.117
1399.00,0.119
1400.00,0.123
1401.00,0.125
1402.00,0.128
1403.00,0.130
1404.00,0.133
1405.00,0.136
1406.00,0.137
1407.00,0.137
1408.00,0.137
1409.00,0.139
1410.00,0.142
1411.00,0.143
1412.00,0.144
1413.00,0.144
1414.00,0.146
1415.00,0.148
1416.00,0.150
1417.00,0.150
1418.00,0.150
1419.00,0.152
1420.00,0.152
1421.00,0.153
1422.00,0.154
1423.00,0.155
1424.00,0.157
1425.00,0.158
1426.00,0.160
1427.00,0.159
1428.00,0.160
1429.00,0.162
1430.00,0.163
1431.00,0.163
1432.00,0.164
1433.00,0.165
1434.00,0.165
1435.00,0.166
1436.00,0.167
1437.00,0.167
1438.00,0.168
1439.00,0.167
1440.00,0.168
1441.00,0.169
1442.00,0.170
1443.00,0.171
1444.00,0.172
1445.00,0.172
1446.00,0.170
1447.00,0.171
1448.00,0.171
1449.00,0.171
1450.00,0.172
1451.00,0.172
1452.00,0.173
1453.00,0.173
1454.00,0.172
1455.00,0.172
1456.00,0.171
1457.00,0.172
1458.00,0.172
1459.00,0.173
1460.00,0.174
1461.00,0.173
1462.00,0.173
1463.00,0.173
1464.00,0.172
1465.00,0.171
1466.00,0.171
1467.00,0.171
1468.00,0.171
1469.00,0.171
1470.00,0.171
1471.00,0.171
1472.00,0.170
1473.00,0.170
1474.00,0.169
1475.00,0.168
1476.00,0.167
1477.00,0.166
1478.00,0.165
1479.00,0.165
1480.00,0.165
1481.00,0.165
1482.00,0.165
1483.00,0.164
1484.00,0.163
1485.00,0.162
1486.00,0.162
1487.00,0.161
1488.00,0.161
1489.00,0.161
1490.00,0.160
1491.00,0.160
1492.00,0.159
1493.00,0.158
1494.00,0.157
1495.00,0.157
1496.00,0.156
1497.00,0.155
1498.00,0.156
1499.00,0.156
1500.00,0.155
1501.00,0.155
1502.00,0.154
1503.00,0.153
1504.00,0.152
1505.00,0.152
1506.00,0.151
1507.00,0.151
1508.00,0.151
1509.00,0.151
1510.00,0.150
1511.00,0.149
1512.00,0.149
1513.00,0.148
1514.00,0.148
1515.00,0.147
1516.00,0.147
1517.00,0.147
1518.00,0.147
1519.00,0.147
1520.00,0.146
1521.00,0.145
1522.00,0.145
1523.00,0.145
1524.00,0.144
1525.00,0.143
1526.00,0.143
1527.00,0.144
1528.00,0.143
1529.00,0.143
1530.00,0.143
1531.00,0.143
1532.00,0.142
1533.00,0.142
1534.00,0.141
1535.00,0.141
1536.00,0.142
1537.00,0.141
1538.00,0.141
1539.00,0.141
1540.00,0.141
1541.00,0.140
1542.00,0.140
1543.00,0.140
1544.00,0.140
1545.00,0.140
1546.00,0.140
1547.00,0.140
1548.00,0.141
1549.00,0.140
1550.00,0.140
1551.00,0.140
1552.00,0.140
1553.00,0.139
1554.00,0.139
1555.00,0.140
1556.00,0.140
1557.00,0.139
1558.00,0.139
1559.00,0.139
