20230424_F4_PCT-C3-SO3Na 2 mgml_H2SO4 0p05 N - RawData
Wavelength nm.,Abs.
712.00,0.133
713.00,0.132
714.00,0.131
715.00,0.130
716.00,0.129
717.00,0.129
718.00,0.129
719.00,0.129
720.00,0.128
721.00,0.127
722.00,0.127
723.00,0.127
724.00,0.127
725.00,0.126
726.00,0.125
727.00,0.126
728.00,0.125
729.00,0.125
730.00,0.125
731.00,0.125
732.00,0.124
733.00,0.124
734.00,0.125
735.00,0.124
736.00,0.124
737.00,0.124
738.00,0.123
739.00,0.123
740.00,0.124
741.00,0.125
742.00,0.125
743.00,0.125
744.00,0.125
745.00,0.124
746.00,0.124
747.00,0.124
748.00,0.125
749.00,0.124
750.00,0.125
751.00,0.125
752.00,0.125
753.00,0.125
754.00,0.125
755.00,0.126
756.00,0.126
757.00,0.126
758.00,0.125
759.00,0.124
760.00,0.126
761.00,0.127
762.00,0.126
763.00,0.127
764.00,0.127
765.00,0.127
766.00,0.127
767.00,0.127
768.00,0.127
769.00,0.128
770.00,0.128
771.00,0.128
772.00,0.128
773.00,0.129
774.00,0.129
775.00,0.129
776.00,0.130
777.00,0.130
778.00,0.129
779.00,0.129
780.00,0.131
781.00,0.131
782.00,0.130
783.00,0.129
784.00,0.130
785.00,0.131
786.00,0.131
787.00,0.132
788.00,0.132
789.00,0.131
790.00,0.132
791.00,0.133
792.00,0.133
793.00,0.131
794.00,0.132
795.00,0.133
796.00,0.134
797.00,0.133
798.00,0.134
799.00,0.135
800.00,0.134
801.00,0.134
802.00,0.134
803.00,0.135
804.00,0.135
805.00,0.136
806.00,0.136
807.00,0.136
808.00,0.135
809.00,0.136
810.00,0.138
811.00,0.137
812.00,0.136
813.00,0.138
814.00,0.139
815.00,0.138
816.00,0.139
817.00,0.139
818.00,0.139
819.00,0.139
820.00,0.140
821.00,0.141
822.00,0.140
823.00,0.140
824.00,0.140
825.00,0.141
826.00,0.141
827.00,0.141
828.00,0.142
829.00,0.141
830.00,0.140
831.00,0.142
832.00,0.143
833.00,0.143
834.00,0.143
835.00,0.143
